GeositeInfo_DataOwner,GeositeInfo_Identifier,GeositeInfo_GeositeType,GeositeInfo_Latitude,GeositeInfo_Longitude,WaterStrike_ConstructionCompletionDate,WaterStrike_YieldMeasurementMethod,WaterStrike_WaterStrikeType,WaterStrike_SeepageValue,WaterStrike_DepthToTop,WaterStrike_DepthToBottom,WaterStrike_TotalBlowYieldValue,WaterStrike_ContributionValue
Dept Water - Pretoria,2828DB00139,Borehole,-28.53432,28.79772,1968/05/17,,Individual Contribution,0.0001,18.3,,7.6001,
Dept Water - Pretoria,2828DB00140,Borehole,-28.53432,28.79773,1970/12/05,Float Principle (Thalimedes),Total Yield,,42.67,,0.34,
Dept Water - Pretoria,2828DB00141,Borehole,-28.53432,28.79774,1970/11/16,Float Principle (Thalimedes),Total Yield,,67.06,,1.25,
Dept Water - Pretoria,2828DB00142,Borehole,-28.53432,28.79775,1970/11/27,,Total Seepage,0.0001,89.92,,,
Dept Water - Pretoria,2828DB00143,Borehole,-28.53432,28.79776,1970/11/20,,Total Seepage,0.0001,22.86,,,
Dept Water - Pretoria,2828DB00144,Borehole,-28.53431,28.79774,1970/12/03,,Total Seepage,0.0001,38.1,,,
Dept Water - Pretoria,2828DB00145,Borehole,-28.5343,28.79775,1970/12/05,,Total Seepage,0.0001,42.67,,,
Dept Water - Pretoria,2828DB00054,Borehole,-28.53359,28.88458,1971/07/01,,Total Yield,,23,,1.25,
Dept Water - Pretoria,2828DB00011,Borehole,-28.53235,28.81229,1966/09/01,,Total Yield,,25,,3.79,
Dept Water - Pretoria,026115,Borehole,-28.52779,28.80299,1973/05/01,,Individual Contribution,,35,,1.3001,1.3
Dept Water - Pretoria,026115,Borehole,-28.52779,28.80299,1973/05/01,,Individual Contribution,0.0001,18,,1.3001,
Dept Water - Pretoria,2828DB00099,Borehole,-28.5263,28.81614,,,,,,,,
Dept Water - Pretoria,2828DB00085,Borehole,-28.5263,28.84601,,,,,,,,
Dept Water - Pretoria,2828DB00117,Borehole,-28.5262,28.81614,,,,,,,,
Dept Water - Pretoria,2828DB00105,Borehole,-28.52619,28.81614,,,,,,,,
Dept Water - Pretoria,024589,Borehole,-28.52605,28.79776,1970/12/01,Float Principle (Thalimedes),Total Yield,,20.42,,0.86,
Dept Water - Pretoria,2829CA00006,Borehole,-28.5249,29.10443,1955/07/02,,Total Seepage,0.05,7.62,,,
Dept Water - Pretoria,2829CA00005,Borehole,-28.52489,29.10443,,,,,,,,
Dept Water - Pretoria,2829CA00007,Borehole,-28.52489,29.10444,,,,,,,,
Dept Water - Pretoria,2829CA00003,Borehole,-28.52434,29.0601,,,,,,,,
Dept Water - Pretoria,2829CA00001,Borehole,-28.52433,29.0601,,,,,,,,
Dept Water - Pretoria,2829CA00002,Borehole,-28.52433,29.06011,1984/01/26,,Individual Contribution,,72,,2.2001,2.2
Dept Water - Pretoria,2829CA00002,Borehole,-28.52433,29.06011,1984/01/26,,Individual Contribution,0.0001,60,,2.2001,
Dept Water - Pretoria,2829CA00004,Borehole,-28.52433,29.06012,,,,,,,,
Dept Water - Pretoria,2828DB00010,Borehole,-28.52299,28.79304,1966/07/01,,Total Yield,,26,,5,
Dept Water - Pretoria,2828DA00007,Borehole,-28.52224,28.67677,1983/08/10,,Total Yield,,19,,3.33,
Dept Water - Pretoria,2828DA00005,Borehole,-28.52223,28.67677,,,,,,,,
Dept Water - Pretoria,2828DA00006,Borehole,-28.52223,28.67678,,,,,,,,
Dept Water - Pretoria,2828DB00079,Borehole,-28.52193,28.82803,1973/05/01,,Individual Contribution,,27,,2.5001,2.5
Dept Water - Pretoria,2828DB00079,Borehole,-28.52193,28.82803,1973/05/01,,Individual Contribution,0.0001,15,,2.5001,
Dept Water - Pretoria,2828DB00129,Borehole,-28.52028,28.87356,,,,,,,,
Dept Water - Pretoria,2828DB00130,Borehole,-28.51971,28.87448,,,,,,,,
Dept Water - Pretoria,2828DB00131,Borehole,-28.51927,28.87027,,,,,,,,
Dept Water - Pretoria,025880,Borehole,-28.51398,28.83763,1971/07/01,,Total Yield,,29,32,5,
Dept Water - Pretoria,2828DB00013,Borehole,-28.51321,28.83828,1968/05/01,,Individual Contribution,,30,,7.5001,7.5
Dept Water - Pretoria,2828DB00013,Borehole,-28.51321,28.83828,1968/05/01,,Individual Contribution,0.0001,18,,7.5001,
Dept Water - Pretoria,2828DB00025,Borehole,-28.50634,28.81901,,,,,,,,
Dept Water - Pretoria,2828DB00115,Borehole,-28.5062,28.79967,,,,,,,,
Dept Water - Pretoria,023437,Borehole,-28.50614,28.82109,1970/02/01,,Total Yield,,27.4,,0.62,
Dept Water - Pretoria,2828CB00002,Borehole,-28.50044,28.36634,1962/11/13,,Total Yield,,23.47,,5.54,
Dept Water - Pretoria,2828CB00001,Borehole,-28.50043,28.36634,,,,,,,,
Dept Water - Pretoria,2828BD00004,Borehole,-28.49883,28.78107,1966/07/29,,Individual Contribution,,25.91,,5.0001,5
Dept Water - Pretoria,2828BD00004,Borehole,-28.49883,28.78107,1966/07/29,,Individual Contribution,0.0001,20.73,,5.0001,
Dept Water - Pretoria,2728DD00029,Borehole,-28.49626,28.69272,1983/04/23,,Total Yield,,13,,2.53,
Dept Water - Pretoria,2828BD00032,Borehole,-28.49209,28.878,,,,,,,,
Dept Water - Pretoria,2828BD00033,Borehole,-28.48654,28.88022,2003/02/05,,Total Yield,,30,,2.5,
Dept Water - Pretoria,2828AD00009,Borehole,-28.48513,28.45387,1984/09/06,,Total Yield,,45,,2.5,
Dept Water - Pretoria,2828AD00029,Borehole,-28.47993,28.34967,1983/05/11,,Total Yield,,22,,0.5,
Dept Water - Pretoria,2828BD00029,Borehole,-28.47181,28.87689,,,,,,,,
Dept Water - Pretoria,2828BD00024,Borehole,-28.46793,28.82467,,,,,,,,
Dept Water - Pretoria,2828BD00035,Borehole,-28.46681,28.89105,2003/04/01,,Total Yield,,24,,0.33,
Dept Water - Free State,2828BC00090,Borehole,-28.46515,28.60189,,,,,,,,
Dept Water - Pretoria,2828BC00094,Borehole,-28.46489,28.69662,1957/02/22,Float Principle (Thalimedes),Total Yield,,30.48,,0.71,
Dept Water - Pretoria,2828BC00092,Borehole,-28.46488,28.69661,1957/02/14,,Total Seepage,0.0001,12.19,,,
Dept Water - Pretoria,2828BC00093,Borehole,-28.46488,28.69662,1957/02/19,Float Principle (Thalimedes),Total Yield,,30.48,,2.13,
Dept Water - Pretoria,2828BC00091,Borehole,-28.46487,28.69661,1957/02/12,,Total Seepage,0.0001,55.78,,,
Dept Water - Pretoria,2828BD00001,Borehole,-28.46113,28.82077,1984/06/29,,Total Yield,,45,,3.33,
Dept Water - Pretoria,2828AD00040,Borehole,-28.46024,28.35856,,,,,,,,
Dept Water - Pretoria,2828AD00038,Borehole,-28.46023,28.35856,,,,,,,,
Dept Water - Pretoria,2828AD00039,Borehole,-28.46023,28.35857,1983/06/28,,Total Yield,,8,,0.83,
Dept Water - Pretoria,2828BD00026,Borehole,-28.45987,28.85411,2003/05/12,,Total Yield,,51,,1.33,
Dept Water - Pretoria,2829AC00038,Borehole,-28.45877,29.06638,1992/03/08,,Total Yield,,78,,1.1,
Dept Water - Pretoria,2829AC00063,Borehole,-28.45242,29.06696,1956/03/24,,Total Seepage,0.0001,85.34,,,
Dept Water - Pretoria,2829AC00064,Borehole,-28.45242,29.06697,1956/04/05,Float Principle (Thalimedes),Total Seepage,0.04,33.53,,,
Dept Water - Pretoria,2829AC00061,Borehole,-28.45241,29.06695,1956/03/08,Float Principle (Thalimedes),Total Yield,,25.91,,0.1,
Dept Water - Pretoria,2829AC00062,Borehole,-28.45241,29.06696,1956/03/12,Float Principle (Thalimedes),Total Seepage,0.09,28.96,,,
Dept Water - Pretoria,2829AC00059,Borehole,-28.4524,29.06694,1956/02/20,Float Principle (Thalimedes),Total Seepage,0.01,24.38,,,
Dept Water - Pretoria,2829AC00060,Borehole,-28.4524,29.06695,1956/02/29,Float Principle (Thalimedes),Total Seepage,0.01,28.96,,,
Dept Water - Pretoria,2829AC00057,Borehole,-28.45239,29.06693,1956/02/08,,Total Seepage,0.0001,45.72,,,
Dept Water - Pretoria,2829AC00058,Borehole,-28.45239,29.06694,1956/02/10,,Total Seepage,0.0001,12.19,,,
Dept Water - Pretoria,2829AC00056,Borehole,-28.45238,29.06693,1969/11/04,Float Principle (Thalimedes),Total Yield,,17.68,,1.25,
Dept Water - Pretoria,2829AC00013,Borehole,-28.45046,29.06638,,,,,,,,
Dept Water - Pretoria,2829AC00011,Borehole,-28.45045,29.06638,,,,,,,,
Dept Water - Pretoria,2829AC00010,Borehole,-28.45044,29.06638,,,,,,,,
Dept Water - Pretoria,2829AC00012,Borehole,-28.45044,29.06639,,,,,,,,
Dept Water - Pretoria,2828BD00036,Borehole,-28.45026,28.88939,2003/04/01,,Total Yield,,21,,4,
Dept Water - Pretoria,2828AD00037,Borehole,-28.44813,28.31634,,,,,,,,
Dept Water - Pretoria,2828AD00065,Borehole,-28.4446,28.3405,1997/03/17,,Total Seepage,0.0001,90,,,
Dept Water - Pretoria,2828AD00003,Borehole,-28.44453,28.333,,,,,,,,
Dept Water - Pretoria,2828BC00046,Borehole,-28.44413,28.51517,1984/07/09,,Individual Contribution,,60,,1.3001,1.3
Dept Water - Pretoria,2828BC00046,Borehole,-28.44413,28.51517,1984/07/09,,Individual Contribution,0.0001,40,,1.3001,
Dept Water - Pretoria,2828BD00034,Borehole,-28.44126,28.90939,,,,,,,,
Dept Water - Pretoria,2828BC00044,Borehole,-28.44073,28.51287,1984/07/04,,Total Yield,,24,,3.33,
Dept Water - Pretoria,2828BD00031,Borehole,-28.43959,28.92078,,,,,,,,
Dept Water - Pretoria,2828BC00045,Borehole,-28.43843,28.51547,1984/07/05,,Total Yield,,72,,1.11,
Dept Water - Pretoria,2828BC00048,Borehole,-28.43813,28.66997,,,,,,,,
Dept Water - Pretoria,2828BC00042,Borehole,-28.43683,28.51287,,,,,,,,
Dept Water - Pretoria,2828AD00031,Borehole,-28.43666,28.41634,,,,,,,,
Dept Water - Pretoria,2828AD00030,Borehole,-28.43663,28.41634,,,,,,,,
Dept Water - Pretoria,2828BC00043,Borehole,-28.43493,28.51477,,,,,,,,
Dept Water - Pretoria,2828BC00049,Borehole,-28.43443,28.67727,1984/09/25,,Individual Contribution,,50,,0.6001,0.6
Dept Water - Pretoria,2828BC00049,Borehole,-28.43443,28.67727,1984/09/25,,Individual Contribution,0.0001,35,,0.6001,
Dept Water - Pretoria,2828BD00028,Borehole,-28.43237,28.89689,2003/01/24,,Total Yield,,23,,1,
Dept Water - Pretoria,2828BD00030,Borehole,-28.43098,28.91189,,,,,,,,
Dept Water - Pretoria,2828AD00027,Borehole,-28.43004,28.34967,,,,,,,,
Dept Water - Pretoria,2828AD00026,Borehole,-28.43003,28.34967,1983/05/07,,Total Yield,,20,,3.13,
Dept Water - Pretoria,2828AD00028,Borehole,-28.43003,28.34968,,,,,,,,
Dept Water - Pretoria,2828AD00063,Borehole,-28.42876,28.33273,1997/03/12,,Total Yield,,66,,10,
Dept Water - Pretoria,2828AD00062,Borehole,-28.42793,28.36856,1983/05/07,Float Principle (Thalimedes),Total Yield,,20,,3.13,
Dept Water - Pretoria,2828AD00064,Borehole,-28.42765,28.33606,1997/03/25,Estimated,Individual Contribution,,48,,4.0002,4
Dept Water - Pretoria,2828AD00064,Borehole,-28.42765,28.33606,1997/03/25,Estimated,Individual Contribution,0.0001,30,,4.0002,
Dept Water - Pretoria,2828AD00064,Borehole,-28.42765,28.33606,1997/03/25,Estimated,Individual Contribution,0.0001,42,,4.0002,
Dept Water - Pretoria,2828BC00051,Borehole,-28.42183,28.52837,1984/07/12,,Total Yield,,60,,0.67,
Dept Water - Pretoria,2828BC00052,Borehole,-28.42173,28.53323,,,,,,,,
Dept Water - Pretoria,2828BC00047,Borehole,-28.42173,28.66427,1984/09/20,,Total Yield,,45,,1.25,
Dept Water - Pretoria,2828BC00053,Borehole,-28.42053,28.53397,,,,,,,,
Dept Water - Pretoria,2829AC00017,Borehole,-28.41989,29.20249,1963/05/21,,Total Seepage,0.01,9.14,,,
Dept Water - Pretoria,2829AC00009,Borehole,-28.41714,29.09971,,,,,,,,
Dept Water - Pretoria,2829AC00007,Borehole,-28.41713,29.09971,,,,,,,,
Dept Water - Pretoria,2829AC00005,Borehole,-28.41712,29.09971,1961/06/02,,Total Yield,,39.62,,0.34,
Dept Water - Pretoria,2829AC00004,Borehole,-28.41711,29.09971,1961/06/12,,Total Yield,,18.29,,0.43,
Dept Water - Pretoria,2829AC00006,Borehole,-28.41711,29.09972,1961/05/22,,Total Seepage,0.01,39.62,,,
Dept Water - Pretoria,2829AC00008,Borehole,-28.41711,29.09973,,,,,,,,
Dept Water - Pretoria,2829AC00030,Borehole,-28.41711,29.21638,1983/06/13,,Individual Contribution,,40,,2.3001,2.3
Dept Water - Pretoria,2829AC00030,Borehole,-28.41711,29.21638,1983/06/13,,Individual Contribution,0.0001,15,,2.3001,
Dept Water - Pretoria,2829AC00031,Borehole,-28.41711,29.21639,,,,,,,,
Dept Water - Pretoria,2828AD00045,Borehole,-28.4171,28.433,,,,,,,,
Dept Water - Pretoria,2828BD00013,Borehole,-28.41543,28.96272,,,,,,,,
